episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
700,1.0,0.3226487742421214,2.69125758186072,-83.98749814399845,-30.0,1.5,0,0.0,False,True,0.6061475286876705,1,23.11822180235112,4436.201,prepare,0.0
700,2.0,0.3224812110660926,2.691623737820003,-84.02982015332466,30.0,1.5,8,32.474832969306206,False,True,0.6044966593861241,1,23.11822180235112,4436.277,in_progress,0.0
700,3.0,0.3271416127138766,2.6857473830113383,-83.03465976003399,15.0,1.5,6,23.31271574631636,False,True,0.6318814723894908,1,23.11822180235112,4436.344,in_progress,0.0
700,4.0,0.3404819228150023,2.665986144265345,-80.35101766277357,0.0,1.5,4,20.38254573457082,False,True,0.7253018293828327,1,23.11822180235112,4436.401,in_progress,0.0
700,5.0,0.3588614269193594,2.633669628406622,-77.33208968075085,0.0,1.5,4,19.748091884859413,False,True,0.8749045942429706,1,23.11822180235112,4436.478,in_progress,0.0
700,6.0,0.38496344891895495,2.5934743745758366,-73.41787495342079,30.0,1.5,8,19.965963348441246,False,True,1.0629578009064748,2,23.11822180235112,4436.536,in_progress,0.0
700,7.0,0.4192675220303334,2.543516727783865,-69.21370885275365,-30.0,1.5,0,20.790292354430456,False,True,1.297820464810132,2,23.11822180235112,4436.604,in_progress,0.0
700,8.0,0.4648432685399974,2.4833959606595593,-64.51923458773229,-30.0,1.5,0,22.3050156433825,False,True,1.6044012514706,2,23.11822180235112,4436.663,in_progress,0.0
700,9.0,0.5189584101429812,2.406271161979506,-61.318504754369215,15.0,2.5,7,28.487188503229703,False,True,2.0013469652906735,3,23.11822180235112,4436.748,in_progress,0.0
700,10.0,0.5701850906534587,2.335544998545552,-58.90123960375158,-30.0,1.5,0,25.742123879278846,False,True,2.3492123879278846,4,23.11822180235112,4436.806,in_progress,0.0
700,11.0,0.6360428195293968,2.2461259323973506,-56.830186701471966,-30.0,1.5,0,27.93235119408766,False,True,2.8250586313496426,4,23.11822180235112,4436.882,in_progress,0.0
700,12.0,0.6899289081604437,2.166456477941714,-56.49001876226763,30.0,2.5,9,33.06945022885228,False,True,3.218334027462274,5,23.11822180235112,4436.94,in_progress,0.0
700,13.0,0.7514375920362856,2.0722983543083218,-56.683501329723946,30.0,1.5,8,31.06916612427643,False,True,3.7464915961559355,6,23.11822180235112,4437.007,in_progress,0.0
700,14.0,0.8107128315812097,1.9941019339733517,-55.27025864653863,30.0,2.5,9,36.61527772434798,False,True,4.251138881408718,7,23.11822180235112,4437.082,in_progress,0.0
700,15.0,0.8952741016204504,1.8961498955733695,-52.44428332857335,-30.0,2.5,1,39.01321705178466,False,True,4.914482557767698,8,23.11822180235112,4437.144,in_progress,0.0
700,16.0,0.9799011314125038,1.8095739057422964,-49.51883355115834,30.0,2.5,9,41.0812669271735,False,True,5.57300270834776,9,23.11822180235112,4437.212,in_progress,0.0
700,17.0,1.1080498348013745,1.6866865073956847,-46.20765563107471,0.0,1.5,4,42.49522796409497,False,True,6.841688753896145,10,23.11822180235112,4437.269,in_progress,0.0
700,18.0,1.181731456797537,1.6271616623848915,-43.71031743584045,15.0,2.5,7,48.34484530867095,False,True,7.577072155560771,12,23.11822180235112,4437.346,in_progress,0.0
700,19.0,1.2935897390111708,1.5476766656517318,-39.763683632024566,30.0,2.5,9,52.323203961082825,False,True,8.753908752605737,13,23.11822180235112,4437.416,in_progress,0.0
700,20.0,1.467898174804617,1.446799828403166,-33.6484376428417,30.0,2.5,9,54.790942642976916,False,True,9.708188528595382,15,23.11822180235112,4437.478,in_progress,0.0
700,21.0,1.5728374794579747,1.396563934396017,-30.221839532086392,15.0,1.5,6,50.925698432667375,False,True,10.221896670860149,16,23.11822180235112,4437.546,in_progress,0.0
700,22.0,1.7369210409493936,1.33371454843967,-24.517951100369416,-15.0,1.5,2,51.953355416394025,False,True,10.934738191606685,17,23.11822180235112,4437.607,in_progress,0.0
700,23.0,1.8557067392134328,1.299864453189473,-20.521296743164953,15.0,2.5,7,55.95224990216626,False,True,11.43151747749824,17,23.11822180235112,4437.672,in_progress,0.0
700,24.0,1.9851140561451275,1.2739021840872848,-16.25685857526443,0.0,2.5,5,56.10915689829699,False,True,11.966197655591277,18,23.11822180235112,4437.747,in_progress,0.0
700,25.0,2.123687164104096,1.2555971778183392,-12.027203794666269,0.0,2.5,5,56.42922472446082,False,True,12.544806181115206,19,23.11822180235112,4437.811,in_progress,0.0
700,26.0,2.266163872141832,1.2478700298738485,-7.425744048862288,-15.0,2.5,3,56.82505439438922,False,True,13.149514142541197,20,23.11822180235112,4437.862,in_progress,0.0
700,27.0,2.423240308190866,1.2464613104007007,-3.732198356049495,-30.0,2.5,1,57.52203060660227,False,True,13.843448263782612,21,23.11822180235112,4437.935,in_progress,0.0
700,28.0,2.6185712697067247,1.2353911160828197,-3.667951241042525,-30.0,2.5,1,58.863878494486165,False,True,14.731885978456125,23,23.11822180235112,4438.001,in_progress,0.0
700,29.0,2.75834552889874,1.2182591637395355,-5.342183906098458,-30.0,1.5,0,55.32481256844395,False,True,15.391695644848745,24,23.11822180235112,4438.075,in_progress,0.0
700,30.0,2.9302064327689594,1.1809981931347533,-9.503244956660719,-30.0,2.5,1,60.353791871912996,False,True,16.2311375615739,25,23.11822180235112,4438.142,in_progress,0.0
700,31.0,3.070030367391483,1.1384547460242862,-13.337028205492496,-15.0,1.5,2,56.85634278408475,False,True,16.92796626306627,26,23.11822180235112,4438.204,in_progress,0.0
700,32.0,3.2079944277455823,1.0816713763835755,-18.091164181522746,-15.0,1.5,2,57.25361174184232,False,True,17.60115575738954,27,23.11822180235112,4438.269,in_progress,0.0
700,33.0,3.3050925725197833,1.0327699754368171,-21.544083321866406,15.0,1.5,6,56.9977435269765,False,True,18.066755363902246,28,23.11822180235112,4438.344,in_progress,0.0
