episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
480,1.0,0.32284075192689043,2.6912190160552556,-83.90028367189649,15.0,2.5,7,0.0,False,True,0.6064001512921454,1,23.11822180235112,2697.929,prepare,0.0
480,2.0,0.32252670869126704,2.691289232517223,-83.98315337363418,30.0,1.5,8,32.547811668832175,False,True,0.6059562333766435,1,23.11822180235112,2698.008,in_progress,0.0
480,3.0,0.32642584198182784,2.6791785836754842,-83.35837285060745,15.0,2.5,7,28.257754738372707,False,True,0.6602326421511812,1,23.11822180235112,2698.064,in_progress,0.0
480,4.0,0.3322746806429743,2.662753536023664,-82.40199549785265,0.0,1.5,4,20.603462984459657,False,True,0.7341385193783863,1,23.11822180235112,2698.15,in_progress,0.0
480,5.0,0.34567307603341113,2.6247779756921674,-80.42336212709166,-15.0,2.5,3,24.348736676815953,False,True,0.9049368338407977,1,23.11822180235112,2698.213,in_progress,0.0
480,6.0,0.362333930344521,2.5711836217497672,-78.73331900205288,30.0,1.5,8,21.32684385859715,False,True,1.144610631515829,2,23.11822180235112,2698.276,in_progress,0.0
480,7.0,0.3801517590084583,2.5223348285964873,-76.89949406688892,15.0,1.5,6,21.83712146736687,False,True,1.3710985027156808,2,23.11822180235112,2698.344,in_progress,0.0
480,8.0,0.40863798154664055,2.4412230545152602,-74.9228720431518,15.0,1.5,6,23.983686299578217,False,True,1.7386949039662574,3,23.11822180235112,2698.409,in_progress,0.0
480,9.0,0.45260668352023553,2.3477241176881902,-71.02875374695904,15.0,1.5,6,26.513424690970396,False,True,2.183708222187336,3,23.11822180235112,2698.481,in_progress,0.0
480,10.0,0.49576722031355164,2.266556428643028,-67.93529046553537,-15.0,1.5,2,27.92754704869971,False,True,2.567754704869971,4,23.11822180235112,2698.542,in_progress,0.0
480,11.0,0.5348740195184134,2.1979972673931476,-65.6400888468932,-15.0,1.5,2,28.728478295990747,False,True,2.9126326125589825,4,23.11822180235112,2698.608,in_progress,0.0
480,12.0,0.5920146505706648,2.0986323488879512,-63.41546786014653,30.0,2.5,9,34.78697545525183,False,True,3.4244370546302196,5,23.11822180235112,2698.664,in_progress,0.0
480,13.0,0.6477902014983413,2.00564470723317,-61.62488295387275,-30.0,2.5,1,36.10874318308225,False,True,3.8816366138006924,6,23.11822180235112,2698.747,in_progress,0.0
480,14.0,0.7404954483611935,1.865080269450049,-58.95301642503329,30.0,2.5,9,40.004466973787274,False,True,4.7256253763302185,7,23.11822180235112,2698.81,in_progress,0.0
480,15.0,0.7979176454364088,1.7790427324479852,-57.95660669102809,15.0,2.5,7,40.7189960480071,False,True,5.170349407201065,8,23.11822180235112,2698.874,in_progress,0.0
480,16.0,0.8818131166135605,1.6641455834906966,-55.945832673660405,30.0,2.5,9,43.66957823953312,False,True,5.987132518325298,9,23.11822180235112,2698.941,in_progress,0.0
480,17.0,0.971111058072278,1.5552178449340954,-53.28533096185658,15.0,1.5,6,41.97896575167565,False,True,6.75392417778486,10,23.11822180235112,2699.009,in_progress,0.0
480,18.0,1.110616468166036,1.415733501395337,-47.95261557301044,30.0,2.5,9,49.320317850028616,False,True,7.752657213005151,12,23.11822180235112,2699.061,in_progress,0.0
480,19.0,1.2048304762554976,1.337287332661502,-44.333963012345855,30.0,2.5,9,50.39935574841334,False,True,8.388377592198536,13,23.11822180235112,2699.14,in_progress,0.0
480,20.0,1.3200357737897341,1.2561855928818906,-39.74194989328094,15.0,1.5,6,47.38127089413714,False,True,9.026254178827427,14,23.11822180235112,2699.207,in_progress,0.0
480,21.0,1.4885821456464725,1.162286063760907,-32.622993396981734,0.0,1.5,4,48.85725033743888,False,True,9.787522570862164,15,23.11822180235112,2699.272,in_progress,0.0
480,22.0,1.5772861815919823,1.1237517692472223,-29.09932551875651,15.0,2.5,7,52.3703892662308,False,True,10.146485638570777,16,23.11822180235112,2699.346,in_progress,0.0
480,23.0,1.7107337876519277,1.079237622866914,-23.82465154784972,15.0,2.5,7,52.662388397554736,False,True,10.67484933143759,16,23.11822180235112,2699.405,in_progress,0.0
480,24.0,1.8662054849888277,1.0457224893641819,-17.520858936253838,15.0,2.5,7,53.33184801514984,False,True,11.299643523635961,17,23.11822180235112,2699.474,in_progress,0.0
480,25.0,1.974658804580872,1.031900585587613,-13.121871827101684,-15.0,1.5,2,49.26223515059833,False,True,11.753058787649582,18,23.11822180235112,2699.535,in_progress,0.0
480,26.0,2.134315304415379,1.023764781039303,-6.825456857882241,-30.0,2.5,1,54.052445465647736,False,True,12.428635821068411,19,23.11822180235112,2699.594,in_progress,0.0
480,27.0,2.3035948003901723,1.0237284586059792,-3.0942511966501858,0.0,2.5,5,54.99269654551294,False,True,13.160528067288494,20,23.11822180235112,2699.68,in_progress,0.0
480,28.0,2.4575722663294846,1.0195034763765924,-2.350797553668188,-15.0,1.5,2,51.91300951683934,False,True,13.905642664715016,21,23.11822180235112,2699.74,in_progress,0.0
480,29.0,2.635186274957279,1.0100363820014895,-2.9085861823196524,-30.0,2.5,1,57.383002694933374,False,True,14.828570781530678,23,23.11822180235112,2699.815,in_progress,0.0
480,30.0,2.7201320178573525,1.001592850795171,-3.8738264391879387,-30.0,2.5,1,57.44259709671419,False,True,15.357779129014256,24,23.11822180235112,2699.882,in_progress,0.0
480,31.0,2.854629809898714,0.9788724944725496,-6.718019796138884,15.0,2.5,7,58.472752534515706,False,True,16.189053285699867,25,23.11822180235112,2699.944,in_progress,0.0
480,32.0,3.0265399467244802,0.93533637371082,-11.11016988832834,-15.0,1.5,2,56.51306064851594,False,True,17.3641794075251,27,23.11822180235112,2700.012,in_progress,0.0
480,33.0,3.1661691449663105,0.8899984143650208,-14.763696830793,-15.0,1.5,2,57.05615584033999,False,True,18.086031427312196,28,23.11822180235112,2700.068,in_progress,0.0
480,34.0,3.2878038425887595,0.83920178458077,-18.535937299740393,-15.0,1.5,2,57.167766265221125,False,True,18.67204053017518,29,23.11822180235112,2700.147,in_progress,0.0
480,35.0,3.411363033351145,0.774857491422619,-22.960176508976208,30.0,2.5,9,61.22215371827039,False,True,19.240253801394637,29,23.11822180235112,2700.205,in_progress,0.0
480,36.0,3.5165572564517147,0.7099826341908596,-26.799253076766107,30.0,1.5,8,57.0447425398459,False,True,19.726107314344524,30,23.11822180235112,2700.281,in_progress,0.0
480,37.0,3.6340827333928862,0.639971948300835,-28.88865596657134,30.0,1.5,8,57.08444027288172,False,True,20.288742900966238,31,23.11822180235112,2700.343,in_progress,0.0
480,38.0,3.7181647996885734,0.5987771865834759,-27.844601349473827,30.0,1.5,8,56.6561240010787,False,True,20.674327120409906,32,23.11822180235112,2700.396,in_progress,0.0
480,39.0,3.822492988330031,0.5594124680941859,-24.917091141120626,-30.0,1.5,0,56.49052018377478,False,True,21.153802871672163,32,23.11822180235112,2700.469,in_progress,0.0
480,40.0,3.934329186907408,0.5219397517378801,-22.176365717843733,30.0,1.5,8,56.47044374286818,False,True,21.68817749714727,33,23.11822180235112,2700.544,in_progress,0.0
480,41.0,4.037309860119138,0.486434315366853,-20.943702887870312,0.0,2.5,5,60.269914872509354,False,True,22.148165097728835,34,23.11822180235112,2700.608,in_progress,0.0
480,42.0,4.1737558964014445,0.43879132305128005,-20.12305300706758,-15.0,1.5,2,56.60329403336221,False,True,22.82838349401213,35,23.11822180235112,2700.646,in_progress,0.0
480,43.0,4.251979013395062,0.41034392813242804,-20.112594617639825,30.0,1.5,8,56.32999587297737,False,True,23.25439822538027,36,23.11822180235112,2700.746,in_progress,0.0
480,44.0,4.360713394479749,0.374596218077769,-19.267424092619038,-15.0,2.5,3,60.37615633605786,False,True,23.815508787865458,36,23.11822180235112,2700.817,in_progress,0.0
480,45.0,4.496079387728173,0.33994488379465543,-16.963463865362666,30.0,1.5,8,56.657398760229775,False,True,24.4833294421034,37,23.11822180235112,2700.858,in_progress,0.0
480,46.0,4.653585197985495,0.30814394814384305,-13.863137998051332,-15.0,2.5,3,61.106643701755125,False,True,25.234056102807358,40,23.11822180235112,2700.935,in_progress,0.0
480,47.0,4.762425216292115,0.29519378790228107,-10.9646084932661,15.0,2.5,7,61.0465057946725,False,True,25.754357723496078,40,23.11822180235112,2701.011,in_progress,0.0
480,48.0,4.889842918832262,0.28624549773256525,-7.784407914842963,15.0,1.5,6,57.12225828872311,False,True,26.338683978587092,41,23.11822180235112,2701.074,in_progress,0.0
480,49.0,5.01226186050669,0.2861639597756738,-4.338483223309305,30.0,2.5,9,61.13215511642976,False,True,26.89225600705058,42,23.11822180235112,2701.144,in_progress,0.0
480,50.0,5.151109102799441,0.2959645695384995,-0.19503045951654543,15.0,2.5,7,61.278296644155496,False,True,27.514148322077748,43,23.11822180235112,2701.213,in_progress,0.0
480,51.0,5.284550061561654,0.31485870036065305,3.738170395405247,30.0,1.5,8,57.32210769885316,False,True,28.08677492641511,44,23.11822180235112,2701.27,in_progress,0.0
480,52.0,5.411259882615462,0.342035434181317,7.615607076061406,30.0,2.5,9,61.339501710685795,False,True,28.64654088955661,45,23.11822180235112,2701.343,in_progress,0.0
480,53.0,5.581585735457896,0.3942441667958144,13.172441752019052,30.0,1.5,8,57.72149215541518,False,True,29.39989084237005,46,23.11822180235112,2701.395,in_progress,0.0
480,54.0,5.711855641708796,0.45327457977140506,18.783860193374874,30.0,1.5,8,57.815394441250035,False,True,30.00531299827502,47,23.11822180235112,2701.469,in_progress,0.0
480,55.0,5.801149107587479,0.5032330442251571,22.91139014893067,15.0,1.5,6,57.586230415854395,False,True,30.43492672871992,48,23.11822180235112,2701.543,in_progress,0.0
480,56.0,5.91265924445292,0.5805722386750006,28.649632007589386,30.0,2.5,9,61.623578703243496,False,True,31.009204073816356,48,23.11822180235112,2701.6,in_progress,0.0
480,57.0,5.996443518466589,0.6580638729418093,34.626913904360464,0.0,1.5,4,57.496754932214735,False,True,31.4906503113624,49,23.11822180235112,2701.66,in_progress,0.0
480,58.0,6.070149000696751,0.7443432195932158,41.06951902932369,0.0,2.5,5,61.37797362409634,False,True,31.974224701975878,50,23.11822180235112,2701.745,in_progress,0.0
480,59.0,6.1405491610083285,0.8403881647588797,46.65898136082982,-15.0,1.5,2,57.287297891173566,False,True,32.4720057557924,51,23.11822180235112,2701.809,in_progress,0.0
480,60.0,6.193665605471681,0.9305434896026744,52.03266140141723,-15.0,1.5,2,57.0919595838233,False,True,32.90517575029398,51,23.11822180235112,2701.871,in_progress,0.0
480,61.0,6.247827741245879,1.0548423974168954,59.80025054230825,-30.0,1.5,0,57.09034023621258,False,True,33.45260754408967,52,23.11822180235112,2701.93,in_progress,0.0
480,62.0,6.287652594663543,1.1499781461863503,63.51032012492192,-30.0,2.5,1,60.87094844545257,False,True,33.86498803618059,53,23.11822180235112,2702.01,in_progress,0.0
480,63.0,6.34550720656031,1.2701342079822258,63.89150696798314,-15.0,1.5,2,56.89318844333651,False,True,34.425208719302,54,23.11822180235112,2702.081,in_progress,0.0
480,64.0,6.399094229389981,1.367065274067484,62.733172729954894,-15.0,1.5,2,56.792097737598816,False,True,34.90694255206324,54,23.11822180235112,2702.143,in_progress,0.0
480,65.0,6.455629264889395,1.4636294408606525,61.48740978805962,-15.0,1.5,2,56.71237626151981,False,True,35.40054456998787,55,23.11822180235112,2702.205,in_progress,0.0
480,66.0,6.510878322985952,1.5499087466176893,59.956989969210696,-15.0,1.5,2,56.551469959768355,False,True,35.838970173447116,56,23.11822180235112,2702.275,in_progress,0.0
480,67.0,6.575186420431194,1.6426227665341853,58.03144598181321,-15.0,1.5,2,56.49788122937524,False,True,36.34608042368141,57,23.11822180235112,2702.348,in_progress,0.0
480,68.0,6.6500992985129415,1.734780524220053,55.030574097907106,-30.0,2.5,1,60.48648852506404,False,True,36.88081219704355,57,23.11822180235112,2702.402,in_progress,0.0
480,69.0,6.727241213082525,1.8159381330981959,51.46590217876258,-30.0,2.5,1,60.42742313007891,False,True,37.382421959754446,58,23.11822180235112,2702.469,in_progress,0.0
480,70.0,6.819759273744425,1.8935213470090386,46.41743252691016,30.0,1.5,8,56.404160334574264,False,True,37.90791223420199,59,23.11822180235112,2702.546,in_progress,0.0
480,71.0,6.927872172887069,1.965603233362358,40.27341849346974,-15.0,1.5,2,56.38487411144025,False,True,38.435760619122576,60,23.11822180235112,2702.633,in_progress,0.0
480,72.0,7.045299252524559,2.0357473842980456,35.80301076884526,30.0,1.5,8,56.39978508902459,False,True,38.98784526409771,61,23.11822180235112,2702.674,in_progress,0.0
480,73.0,7.1205418395644395,2.0731880909280687,32.772230191121274,15.0,2.5,7,60.10115978707143,False,True,39.31134664456215,61,23.11822180235112,2702.744,in_progress,0.0
480,74.0,7.221012897780645,2.124513645034618,30.426887815012222,15.0,1.5,6,55.95137661504173,False,True,39.73901869513088,62,23.11822180235112,2702.806,in_progress,0.0
480,75.0,7.34967143755986,2.1878491858459865,28.380985714132912,30.0,1.5,8,55.946849329631306,False,True,40.27263699722348,63,23.11822180235112,2702.864,in_progress,0.0
480,76.0,7.465430422452136,2.2581126938257,29.83514444661131,30.0,1.5,8,55.92276426402078,False,True,40.79130084065579,63,23.11822180235112,2702.937,in_progress,0.0
