episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
360,1.0,0.3227339226181984,2.691314997645301,-83.96474562663907,15.0,1.5,6,0.0,False,True,0.6059389899818817,1,23.11822180235112,1758.742,prepare,0.0
360,2.0,0.3224598335635153,2.6913033058811675,-84.02786070457535,-15.0,2.5,3,36.54327418167126,False,True,0.6058654836334252,1,23.11822180235112,1758.806,in_progress,0.0
360,3.0,0.3265167242008344,2.685634084122794,-83.20438639730233,-15.0,2.5,3,27.319554037211695,False,True,0.6320866211163508,1,23.11822180235112,1758.869,in_progress,0.0
360,4.0,0.3354576061282283,2.6591882631988386,-81.87118171279413,15.0,2.5,7,25.033698336212044,False,True,0.7513479334484818,1,23.11822180235112,1758.934,in_progress,0.0
360,5.0,0.3423291605032149,2.6404367637957242,-80.85798533412091,15.0,2.5,7,22.966807804354666,False,True,0.8358403902177334,1,23.11822180235112,1759.007,in_progress,0.0
360,6.0,0.36136695315891487,2.5940836365804576,-78.16103664177955,-15.0,1.5,2,19.682576423757844,False,True,1.0459545854254706,2,23.11822180235112,1759.072,in_progress,0.0
360,7.0,0.3889033936917445,2.5296714837663514,-75.1855837985596,-15.0,1.5,2,21.491639046132487,False,True,1.3469147332292741,2,23.11822180235112,1759.132,in_progress,0.0
360,8.0,0.4139727074519831,2.467859000820159,-73.30560042765059,15.0,1.5,6,22.621711943671013,False,True,1.6297369554936811,2,23.11822180235112,1759.213,in_progress,0.0
360,9.0,0.4456612844635248,2.399127095517557,-70.99460300852067,15.0,2.5,7,27.886336993749286,False,True,1.9472703294374358,3,23.11822180235112,1759.256,in_progress,0.0
360,10.0,0.4884161722453628,2.3178784777076955,-67.91623343599552,0.0,2.5,5,29.6928408766528,False,True,2.34428408766528,4,23.11822180235112,1759.345,in_progress,0.0
360,11.0,0.5521651908717851,2.2091625061093807,-64.26288494778427,0.0,1.5,4,28.480776846416166,False,True,2.885385453105778,4,23.11822180235112,1759.41,in_progress,0.0
360,12.0,0.6167121443422294,2.1088743326728108,-61.217224658276116,15.0,1.5,6,30.711924791350828,False,True,3.4154309749620992,5,23.11822180235112,1759.467,in_progress,0.0
360,13.0,0.668211312174452,2.036085492720284,-58.98635813760232,-15.0,2.5,3,35.35637188164583,False,True,3.7838283446139576,6,23.11822180235112,1759.542,in_progress,0.0
