episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
0,1.0,0.32249694796234074,2.6915605107013425,-84.0040770882625,30.0,1.5,8,0.0,False,True,0.6047757671364751,1,23.11822180235112,5.195,prepare,0.0
0,2.0,0.32249710353883854,2.691556623900401,-84.00415387587105,30.0,1.5,8,1.0,False,True,0.6047925582093135,1,23.11822180235112,5.241,in_progress,0.0
0,3.0,0.3240802978661751,2.6882174222443083,-83.72082707516788,-15.0,1.5,2,1.0,False,True,0.6198727322174479,1,23.11822180235112,5.311,in_progress,0.0
0,4.0,0.32690682771201296,2.6714787972584553,-83.4678260752951,30.0,1.5,8,1.0,False,True,0.6934993303429616,1,23.11822180235112,5.373,in_progress,0.0
0,5.0,0.33394661260231745,2.6398174611968135,-82.64939742851344,0.0,2.0,5,1.0,False,True,0.8333790180036162,1,23.11822180235112,5.443,in_progress,0.0
0,6.0,0.3462334942527044,2.5891385994375753,-81.37558231345479,15.0,1.5,6,1.0,False,True,1.057899445759134,2,23.11822180235112,5.509,in_progress,0.0
0,7.0,0.3614764882107537,2.536996333364694,-79.69042388803399,0.0,2.0,5,1.0,False,True,1.2904899647456138,2,23.11822180235112,5.5760000000000005,in_progress,0.0
0,8.0,0.38527161895653833,2.46159455010689,-77.48785236114841,15.0,2.0,7,1.0,False,True,1.6333977460228442,2,23.11822180235112,5.647,in_progress,0.0
0,9.0,0.4190421982140425,2.3740768042094436,-74.43855259931206,-30.0,2.0,1,1.0,False,True,2.0400357270911673,3,23.11822180235112,5.713,in_progress,0.0
0,10.0,0.45800239649886404,2.279615477536202,-71.83796543882927,-15.0,1.5,2,1.0,False,True,2.4760391351646214,4,23.11822180235112,5.774,in_progress,0.0
0,11.0,0.49698329157202104,2.1791014831182256,-70.61732963438949,30.0,2.0,9,1.0,False,True,2.949066885418427,5,23.11822180235112,5.8420000000000005,in_progress,0.0
